date,year,triggered_events,estimated_payout_usd,payout_tier,trigger_type
2016-01-01,2016,flood,75,standard,flood
2016-01-01,2016,flood,75,standard,flood
2016-03-01,2016,flood,75,standard,flood
2016-04-01,2016,flood,75,standard,flood
2016-04-01,2016,flood,75,standard,flood
2016-04-01,2016,flood,75,standard,flood
2016-04-01,2016,flood,75,standard,flood
2016-04-01,2016,crop_failure,90,standard,crop_failure
2016-05-01,2016,flood,75,standard,flood
2016-06-01,2016,flood,75,standard,flood
2016-08-01,2016,crop_failure,90,standard,crop_failure
2016-08-01,2016,severe_stress,45,standard,severe_stress
2016-12-01,2016,crop_failure,90,standard,crop_failure
2016-12-01,2016,severe_stress,45,standard,severe_stress
2017-01-01,2017,crop_failure,90,standard,crop_failure
2017-01-01,2017,severe_stress,45,standard,severe_stress
2017-01-01,2017,crop_failure,90,standard,crop_failure
2017-01-01,2017,severe_stress,45,standard,severe_stress
2017-01-01,2017,flood,75,standard,flood
2017-01-01,2017,crop_failure,90,standard,crop_failure
2017-01-01,2017,severe_stress,45,standard,severe_stress
2017-02-01,2017,crop_failure,90,standard,crop_failure
2017-02-01,2017,severe_stress,45,standard,severe_stress
2017-02-01,2017,crop_failure,90,standard,crop_failure
2017-02-01,2017,severe_stress,45,standard,severe_stress
2017-04-01,2017,flood,75,standard,flood
2017-06-01,2017,flood,75,standard,flood
2017-06-01,2017,crop_failure,90,standard,crop_failure
2017-07-01,2017,flood,75,standard,flood
2017-08-01,2017,flood,75,standard,flood
2017-08-01,2017,crop_failure,90,standard,crop_failure
2017-08-01,2017,severe_stress,45,standard,severe_stress
2017-09-01,2017,flood,75,standard,flood
2017-10-01,2017,flood,75,standard,flood
2017-11-01,2017,flood,75,standard,flood
2017-11-01,2017,crop_failure,90,standard,crop_failure
2017-11-01,2017,severe_stress,45,standard,severe_stress
2017-12-01,2017,crop_failure,90,standard,crop_failure
2017-12-01,2017,severe_stress,45,standard,severe_stress
2018-01-01,2018,flood,75,standard,flood
2018-01-01,2018,flood,75,standard,flood
2018-01-01,2018,flood,75,standard,flood
2018-03-01,2018,flood,75,standard,flood
2018-04-01,2018,flood,75,standard,flood
2018-04-01,2018,flood,75,standard,flood
2018-04-01,2018,crop_failure,90,standard,crop_failure
2018-04-01,2018,severe_stress,45,standard,severe_stress
2018-04-01,2018,flood,75,standard,flood
2018-04-01,2018,flood,75,standard,flood
2018-05-01,2018,flood,75,standard,flood
2018-05-01,2018,flood,75,standard,flood
2018-06-01,2018,flood,75,standard,flood
2018-07-01,2018,flood,75,standard,flood
2018-08-01,2018,flood,75,standard,flood
2018-09-01,2018,flood,75,standard,flood
2018-10-01,2018,flood,75,standard,flood
2018-10-01,2018,drought,60,standard,drought
2018-11-01,2018,drought,60,standard,drought
2019-02-01,2019,crop_failure,90,standard,crop_failure
2019-02-01,2019,severe_stress,45,standard,severe_stress
2019-03-01,2019,flood,75,standard,flood
2019-03-01,2019,crop_failure,90,standard,crop_failure
2019-03-01,2019,severe_stress,45,standard,severe_stress
2019-04-01,2019,flood,75,standard,flood
2019-04-01,2019,crop_failure,90,standard,crop_failure
2019-04-01,2019,severe_stress,45,standard,severe_stress
